SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2 Chelsea View Ter,Newburgh,NY,12550,1150000,4,4.5,Pinnacle Of Hudson,4002,72009,2022,127,287,,Active,March-26-2023 01:45 PM,March-26-2023 02:30 PM,https://www.redfin.com/NY/Newburgh/2-Chelsea-View-Ter-12550/home/72587197,OneKey,H6220732,N,Y,41.536854,-74.0023579
MLS Listing,,Single Family Residential,7 Chelsea Vw,Newburgh,NY,12550,989000,4,4.5,Pinnacle Of Hudson,4002,41256,2022,141,247,,Active,March-26-2023 01:45 PM,March-26-2023 02:30 PM,https://www.redfin.com/NY/Newburgh/7-Chelsea-View-Ter-12550/home/72608454,OneKey,H6218585,N,Y,41.5382258,-74.0020612
MLS Listing,,Single Family Residential,94 Maple St,Newburgh,NY,12550,269900,2,1,Newburgh,1728,,1930,142,156,,Active,,,https://www.redfin.com/NY/Newburgh/94-Maple-St-12550/home/54917110,OneKey,H6218385,N,Y,41.5038251,-74.045597
MLS Listing,,Single Family Residential,458 1st St,Newburgh,NY,12550,230000,3,1.5,Newburgh,1656,4918,1921,144,139,,Active,,,https://www.redfin.com/NY/Newburgh/458-1st-St-12550/home/54892349,OneKey,H6215220,N,Y,41.5036179,-74.0279761
MLS Listing,,Multi-Family (2-4 Unit),76 Prospect St,Newburgh,NY,12550,345000,3,2,Newburgh,1656,3202,1927,145,208,,Active,,,https://www.redfin.com/NY/Newburgh/76-Prospect-St-12550/home/92369677,OneKey,H6217322,N,Y,41.5037968,-74.0228119
MLS Listing,,Single Family Residential,112 Johnston St,Newburgh,NY,12550,255000,4,2,Newburgh,1426,3202,1900,152,179,,Active,,,https://www.redfin.com/NY/Newburgh/112-Johnston-St-12550/home/92369654,OneKey,H6212249,N,Y,41.5045615,-74.0131692
MLS Listing,,Vacant Land,171 Lakeside Rd,Newburgh,NY,12550,400000,,,Newburgh,,3528360,,154,,,Active,,,https://www.redfin.com/NY/Newburgh/171-Lakeside-Rd-12550/home/182367942,OneKey,H6216397,N,Y,41.5345238,-74.1032018
MLS Listing,,Vacant Land,Route 300,Newburgh,NY,12550,79900,,,Newburgh,,257004,,154,,,Active,,,https://www.redfin.com/NY/Newburgh/Route-300-12550/home/72603144,OneKey,H6216428,N,Y,41.557037,-74.077228
MLS Listing,,Vacant Land,Route 17k,Newburgh,NY,12550,700000,,,Newburgh,,527076,,154,,,Active,,,https://www.redfin.com/NY/Newburgh/Route-17k-12550/home/92387477,OneKey,H6216425,N,Y,41.526634,-74.110527
MLS Listing,,Single Family Residential,98 Lattintown Rd,Newburgh,NY,12550,274900,3,1,Newburgh,1848,40075,1850,195,149,,Active,,,https://www.redfin.com/NY/Newburgh/98-Lattintown-Rd-12550/home/54894990,OneKey,H6187849,N,Y,41.567261,-74.006696
MLS Listing,,Single Family Residential,1 Pinnacle Blvd,Newburgh,NY,12550,929900,4,3,Pinnacle Subdivision,3032,43584,2022,195,307,,Active,March-26-2023 01:45 PM,March-26-2023 02:30 PM,https://www.redfin.com/NY/Newburgh/1-Pinnacle-Blvd-12550/home/72617843,OneKey,H6208156,N,Y,41.5402553,-74.0033837
MLS Listing,,Vacant Land,Black Angus Ct,Newburgh,NY,12550,198888,,,Newburgh,,252648,,208,,,Active,,,https://www.redfin.com/NY/Orange-Lake/Black-Angus-Ct-12550/home/54986405,OneKey,H6205502,N,Y,41.5424786,-74.0910582
MLS Listing,,Vacant Land,54 Fowler Ave,Newburgh,NY,12550,50000,,,Newburgh,,1172,,215,,,Active,,,https://www.redfin.com/NY/Newburgh/54-Fowler-Ave-12550/home/92369458,OneKey,H6205669,N,Y,41.505927,-74.043665
MLS Listing,,Vacant Land,88 Maple St,Newburgh,NY,12550,90000,,,Newburgh,,4051,,215,,,Active,,,https://www.redfin.com/NY/Newburgh/88-Maple-St-12550/home/92369889,OneKey,H6205660,N,Y,41.5039082,-74.045419
MLS Listing,,Townhouse,33 City Ter,Newburgh,NY,12550,200000,3,2.5,Newburgh,1638,1921,1880,215,122,,Active,,,https://www.redfin.com/NY/Newburgh/33-City-Ter-12550/home/54992007,OneKey,H6205649,N,Y,41.5016708,-74.0165224
